,K_1,K_2,K_3,K_4,K_5,K_6,K_7,K_8,K_9,K_10,K_11,K_12,K_13,K_14,K_15,K_16,K_17,K_18,K_19,K_20,K_21,K_22,K_23,K_24,K_25,K_26,K_27,K_28,K_29,K_30,K_31,K_32,K_33,K_34,K_35,K_36,K_37,K_38,K_39,K_40,K_41,K_42,K_43,K_44,K_45,K_46,K_47,K_48,K_49,K_50,K_51,K_52,K_53,K_54,K_55,K_56,K_57,K_58,K_59,K_60,K_61,K_62,K_63,K_64,K_65,K_66,K_67,K_68,K_69,K_70,K_71,K_72,K_73,K_74,K_75,K_76,K_77,K_78,K_79,K_80,K_81,K_82,K_83,K_84
50words,WordsSynonyms,ProximalPhalanxOutlineCorrect,ProximalPhalanxTW,MiddlePhalanxOutlineCorrect,ArrowHead,PhalangesOutlinesCorrect,ProximalPhalanxOutlineAgeGroup,DistalPhalanxOutlineCorrect,MiddlePhalanxOutlineAgeGroup,MiddlePhalanxTW,DistalPhalanxOutlineAgeGroup,uWaveGestureLibrary_Y,Strawberry,DistalPhalanxTW,ShapesAll,StarLightCurves,MedicalImages,InsectWingbeatSound,Gun_Point,uWaveGestureLibrary_X,Beef,uWaveGestureLibrary_Z,ToeSegmentation2,Lighting7,Coffee,Meat,Cricket_X,ToeSegmentation1,MALLAT,Cricket_Z,MoteStrain,InlineSkate,wafer,Cricket_Y,ElectricDevices,OliveOil,CBF,FaceAll,Lighting2,ECG5000,UWaveGestureLibraryAll,Worms,ItalyPowerDemand,SonyAIBORobotSurfaceII,ECG200,FacesUCR,Ham,yoga,Haptics,ScreenType,synthetic_control,Wine,Computers,SonyAIBORobotSurface,Symbols,WormsTwoClass,SwedishLeaf,BeetleFly,TwoLeadECG,Plane,Adiac,Two_Patterns,OSULeaf,LargeKitchenAppliances,HandOutlines,ECGFiveDays,ChlorineConcentration,Trace,BirdChicken,CinC_ECG_torso,FaceFour,FordB,FordA,Phoneme,RefrigerationDevices,DiatomSizeReduction,Car,FISH,Herring,NonInvasiveFatalECG_Thorax2,NonInvasiveFatalECG_Thorax1,SmallKitchenAppliances,Earthquakes,ShapeletSim
Adiac,DiatomSizeReduction,SwedishLeaf,ShapesAll,FISH,Car,Herring,yoga,Plane,uWaveGestureLibrary_X,uWaveGestureLibrary_Z,ToeSegmentation2,SonyAIBORobotSurface,OSULeaf,uWaveGestureLibrary_Y,InlineSkate,BirdChicken,Cricket_X,StarLightCurves,Cricket_Z,Cricket_Y,MoteStrain,ECG200,NonInvasiveFatalECG_Thorax1,Worms,TwoLeadECG,synthetic_control,NonInvasiveFatalECG_Thorax2,ElectricDevices,DistalPhalanxOutlineAgeGroup,DistalPhalanxTW,UWaveGestureLibraryAll,ECG5000,FacesUCR,SonyAIBORobotSurfaceII,ProximalPhalanxTW,FaceAll,DistalPhalanxOutlineCorrect,MiddlePhalanxTW,ProximalPhalanxOutlineAgeGroup,MiddlePhalanxOutlineAgeGroup,MiddlePhalanxOutlineCorrect,MedicalImages,ProximalPhalanxOutlineCorrect,PhalangesOutlinesCorrect,WordsSynonyms,WormsTwoClass,ScreenType,Beef,50words,Trace,Computers,ItalyPowerDemand,ToeSegmentation1,Symbols,InsectWingbeatSound,ChlorineConcentration,Two_Patterns,ECGFiveDays,BeetleFly,CBF,Haptics,Lighting7,CinC_ECG_torso,Strawberry,FaceFour,Wine,wafer,Gun_Point,Lighting2,Ham,ArrowHead,Meat,Coffee,LargeKitchenAppliances,Phoneme,FordB,FordA,RefrigerationDevices,OliveOil,ShapeletSim,MALLAT,Earthquakes,SmallKitchenAppliances,HandOutlines
ArrowHead,50words,WordsSynonyms,ShapesAll,MedicalImages,ProximalPhalanxTW,DistalPhalanxOutlineCorrect,DistalPhalanxTW,ProximalPhalanxOutlineAgeGroup,DistalPhalanxOutlineAgeGroup,ProximalPhalanxOutlineCorrect,MiddlePhalanxTW,MiddlePhalanxOutlineAgeGroup,MiddlePhalanxOutlineCorrect,PhalangesOutlinesCorrect,Coffee,wafer,uWaveGestureLibrary_Y,uWaveGestureLibrary_X,uWaveGestureLibrary_Z,ECG5000,Beef,FaceAll,Haptics,Cricket_Z,MALLAT,Cricket_X,ToeSegmentation1,Cricket_Y,MoteStrain,Lighting7,ToeSegmentation2,Worms,FacesUCR,ItalyPowerDemand,WormsTwoClass,CBF,InsectWingbeatSound,ElectricDevices,ScreenType,SonyAIBORobotSurfaceII,Strawberry,InlineSkate,StarLightCurves,Computers,synthetic_control,yoga,Gun_Point,UWaveGestureLibraryAll,OliveOil,HandOutlines,ECG200,TwoLeadECG,SonyAIBORobotSurface,Ham,SwedishLeaf,Meat,Wine,Lighting2,Symbols,ECGFiveDays,CinC_ECG_torso,Trace,Two_Patterns,OSULeaf,BeetleFly,Plane,Adiac,FaceFour,LargeKitchenAppliances,BirdChicken,ChlorineConcentration,FordB,Phoneme,FordA,RefrigerationDevices,DiatomSizeReduction,ShapeletSim,NonInvasiveFatalECG_Thorax2,NonInvasiveFatalECG_Thorax1,Car,Herring,FISH,Earthquakes,SmallKitchenAppliances
Beef,50words,uWaveGestureLibrary_Y,uWaveGestureLibrary_X,Meat,uWaveGestureLibrary_Z,WordsSynonyms,ProximalPhalanxTW,ProximalPhalanxOutlineAgeGroup,ProximalPhalanxOutlineCorrect,MiddlePhalanxOutlineCorrect,DistalPhalanxOutlineCorrect,PhalangesOutlinesCorrect,MiddlePhalanxOutlineAgeGroup,DistalPhalanxTW,MiddlePhalanxTW,Strawberry,StarLightCurves,DistalPhalanxOutlineAgeGroup,MoteStrain,MedicalImages,Cricket_Y,Cricket_X,Cricket_Z,Wine,ToeSegmentation1,ShapesAll,Coffee,ToeSegmentation2,InsectWingbeatSound,ECG200,Worms,SonyAIBORobotSurface,ArrowHead,FacesUCR,OliveOil,Gun_Point,SwedishLeaf,yoga,ECG5000,synthetic_control,CBF,FaceAll,WormsTwoClass,SonyAIBORobotSurfaceII,Lighting7,Plane,TwoLeadECG,OSULeaf,UWaveGestureLibraryAll,CinC_ECG_torso,ElectricDevices,ItalyPowerDemand,BirdChicken,Adiac,ScreenType,Computers,Trace,wafer,Symbols,Ham,ECGFiveDays,BeetleFly,InlineSkate,MALLAT,Lighting2,Two_Patterns,DiatomSizeReduction,FaceFour,Car,ChlorineConcentration,LargeKitchenAppliances,FISH,Herring,RefrigerationDevices,Haptics,Phoneme,NonInvasiveFatalECG_Thorax2,FordB,FordA,NonInvasiveFatalECG_Thorax1,ShapeletSim,SmallKitchenAppliances,Earthquakes,HandOutlines
BeetleFly,ShapesAll,OSULeaf,SwedishLeaf,Cricket_X,UWaveGestureLibraryAll,Cricket_Z,Cricket_Y,ToeSegmentation1,Worms,WormsTwoClass,uWaveGestureLibrary_X,FaceAll,FaceFour,Symbols,Plane,synthetic_control,ToeSegmentation2,uWaveGestureLibrary_Y,FacesUCR,BirdChicken,yoga,Phoneme,50words,InsectWingbeatSound,WordsSynonyms,MALLAT,uWaveGestureLibrary_Z,SonyAIBORobotSurfaceII,ScreenType,Ham,ElectricDevices,SonyAIBORobotSurface,ECG200,Computers,Beef,ChlorineConcentration,NonInvasiveFatalECG_Thorax2,Car,InlineSkate,DistalPhalanxOutlineAgeGroup,ProximalPhalanxTW,CinC_ECG_torso,DistalPhalanxTW,DistalPhalanxOutlineCorrect,NonInvasiveFatalECG_Thorax1,MiddlePhalanxTW,ProximalPhalanxOutlineAgeGroup,Adiac,DiatomSizeReduction,FISH,MiddlePhalanxOutlineAgeGroup,MiddlePhalanxOutlineCorrect,Herring,ProximalPhalanxOutlineCorrect,PhalangesOutlinesCorrect,Haptics,ECG5000,MedicalImages,StarLightCurves,OliveOil,CBF,MoteStrain,FordB,FordA,Two_Patterns,Wine,TwoLeadECG,Lighting7,Strawberry,Coffee,wafer,ECGFiveDays,RefrigerationDevices,ArrowHead,ItalyPowerDemand,Lighting2,Trace,Gun_Point,Meat,LargeKitchenAppliances,ShapeletSim,HandOutlines,Earthquakes,SmallKitchenAppliances
BirdChicken,ShapesAll,yoga,SwedishLeaf,Plane,OSULeaf,Herring,ToeSegmentation2,uWaveGestureLibrary_X,FISH,Adiac,Car,DiatomSizeReduction,Cricket_X,InlineSkate,Cricket_Z,Cricket_Y,ToeSegmentation1,uWaveGestureLibrary_Z,synthetic_control,UWaveGestureLibraryAll,uWaveGestureLibrary_Y,FacesUCR,SonyAIBORobotSurface,MoteStrain,Worms,Symbols,ECG200,BeetleFly,ElectricDevices,FaceAll,SonyAIBORobotSurfaceII,NonInvasiveFatalECG_Thorax2,WormsTwoClass,DistalPhalanxTW,Beef,NonInvasiveFatalECG_Thorax1,DistalPhalanxOutlineAgeGroup,ScreenType,InsectWingbeatSound,CinC_ECG_torso,DistalPhalanxOutlineCorrect,ECG5000,ProximalPhalanxTW,MiddlePhalanxTW,ProximalPhalanxOutlineAgeGroup,Computers,FaceFour,WordsSynonyms,MiddlePhalanxOutlineAgeGroup,TwoLeadECG,MiddlePhalanxOutlineCorrect,50words,StarLightCurves,ChlorineConcentration,ProximalPhalanxOutlineCorrect,PhalangesOutlinesCorrect,MedicalImages,ItalyPowerDemand,Haptics,ECGFiveDays,CBF,Ham,Two_Patterns,Strawberry,Lighting7,Trace,wafer,Phoneme,Wine,Gun_Point,Lighting2,OliveOil,Meat,ArrowHead,FordB,LargeKitchenAppliances,FordA,Coffee,RefrigerationDevices,MALLAT,ShapeletSim,Earthquakes,SmallKitchenAppliances,HandOutlines
CBF,Gun_Point,ItalyPowerDemand,uWaveGestureLibrary_Z,MedicalImages,DistalPhalanxTW,WordsSynonyms,DistalPhalanxOutlineCorrect,DistalPhalanxOutlineAgeGroup,Lighting7,MiddlePhalanxOutlineAgeGroup,ProximalPhalanxTW,PhalangesOutlinesCorrect,MiddlePhalanxOutlineCorrect,ProximalPhalanxOutlineAgeGroup,50words,ProximalPhalanxOutlineCorrect,MiddlePhalanxTW,MoteStrain,ElectricDevices,Cricket_X,Strawberry,uWaveGestureLibrary_Y,uWaveGestureLibrary_X,Cricket_Z,Coffee,wafer,ECG5000,ToeSegmentation2,Cricket_Y,SonyAIBORobotSurfaceII,InlineSkate,synthetic_control,ScreenType,InsectWingbeatSound,Computers,FaceAll,TwoLeadECG,Symbols,SonyAIBORobotSurface,ShapesAll,Meat,Worms,SwedishLeaf,Beef,Trace,ECG200,Lighting2,FacesUCR,Two_Patterns,StarLightCurves,ToeSegmentation1,Plane,ArrowHead,WormsTwoClass,OSULeaf,ECGFiveDays,Wine,Haptics,LargeKitchenAppliances,yoga,UWaveGestureLibraryAll,Adiac,BirdChicken,BeetleFly,Ham,FaceFour,OliveOil,ChlorineConcentration,MALLAT,DiatomSizeReduction,CinC_ECG_torso,HandOutlines,Phoneme,FordB,FordA,NonInvasiveFatalECG_Thorax2,RefrigerationDevices,FISH,Car,NonInvasiveFatalECG_Thorax1,Herring,ShapeletSim,SmallKitchenAppliances,Earthquakes
Car,ShapesAll,FISH,Adiac,DiatomSizeReduction,SwedishLeaf,Herring,yoga,Plane,OSULeaf,BirdChicken,ToeSegmentation2,InlineSkate,uWaveGestureLibrary_X,uWaveGestureLibrary_Z,Cricket_X,SonyAIBORobotSurface,UWaveGestureLibraryAll,synthetic_control,Cricket_Z,Cricket_Y,NonInvasiveFatalECG_Thorax1,NonInvasiveFatalECG_Thorax2,Worms,WormsTwoClass,uWaveGestureLibrary_Y,SonyAIBORobotSurfaceII,ECG200,ElectricDevices,FacesUCR,FaceAll,BeetleFly,ScreenType,ToeSegmentation1,MoteStrain,DistalPhalanxTW,ECG5000,ChlorineConcentration,DistalPhalanxOutlineAgeGroup,Beef,ProximalPhalanxTW,DistalPhalanxOutlineCorrect,Computers,MiddlePhalanxTW,FaceFour,ProximalPhalanxOutlineAgeGroup,MiddlePhalanxOutlineAgeGroup,50words,WordsSynonyms,MiddlePhalanxOutlineCorrect,CinC_ECG_torso,Haptics,StarLightCurves,TwoLeadECG,ProximalPhalanxOutlineCorrect,MedicalImages,InsectWingbeatSound,PhalangesOutlinesCorrect,Two_Patterns,Symbols,ECGFiveDays,ItalyPowerDemand,CBF,Phoneme,Trace,FordB,FordA,Ham,Strawberry,RefrigerationDevices,wafer,Wine,Lighting7,ShapeletSim,ArrowHead,Gun_Point,Lighting2,MALLAT,OliveOil,LargeKitchenAppliances,Meat,Earthquakes,Coffee,SmallKitchenAppliances,HandOutlines
ChlorineConcentration,MedicalImages,FaceAll,synthetic_control,Cricket_Z,ECG200,ElectricDevices,SwedishLeaf,SonyAIBORobotSurface,uWaveGestureLibrary_Z,OSULeaf,uWaveGestureLibrary_X,Wine,FaceFour,Plane,50words,Cricket_Y,BeetleFly,ShapesAll,SonyAIBORobotSurfaceII,Adiac,BirdChicken,yoga,InsectWingbeatSound,Worms,WormsTwoClass,ScreenType,Symbols,FacesUCR,Cricket_X,UWaveGestureLibraryAll,DiatomSizeReduction,Computers,uWaveGestureLibrary_Y,ToeSegmentation1,FISH,Herring,Car,ToeSegmentation2,InlineSkate,PhalangesOutlinesCorrect,Two_Patterns,DistalPhalanxTW,DistalPhalanxOutlineCorrect,DistalPhalanxOutlineAgeGroup,MiddlePhalanxTW,ProximalPhalanxOutlineCorrect,ProximalPhalanxOutlineAgeGroup,ProximalPhalanxTW,WordsSynonyms,MiddlePhalanxOutlineAgeGroup,MiddlePhalanxOutlineCorrect,MoteStrain,TwoLeadECG,Phoneme,NonInvasiveFatalECG_Thorax2,StarLightCurves,Trace,FordB,CBF,Beef,FordA,RefrigerationDevices,ItalyPowerDemand,ECG5000,wafer,NonInvasiveFatalECG_Thorax1,ECGFiveDays,Strawberry,Lighting7,Meat,Coffee,Gun_Point,Ham,OliveOil,MALLAT,Haptics,CinC_ECG_torso,LargeKitchenAppliances,Lighting2,ArrowHead,Earthquakes,ShapeletSim,SmallKitchenAppliances,HandOutlines
CinC_ECG_torso,Cricket_Y,ECGFiveDays,Beef,SwedishLeaf,OSULeaf,uWaveGestureLibrary_Y,Cricket_X,ShapesAll,uWaveGestureLibrary_Z,yoga,Cricket_Z,BirdChicken,ToeSegmentation1,Symbols,uWaveGestureLibrary_X,ToeSegmentation2,Worms,InlineSkate,50words,TwoLeadECG,StarLightCurves,UWaveGestureLibraryAll,FacesUCR,WormsTwoClass,FaceAll,BeetleFly,WordsSynonyms,MoteStrain,ECG200,SonyAIBORobotSurface,ECG5000,DistalPhalanxOutlineAgeGroup,InsectWingbeatSound,SonyAIBORobotSurfaceII,Ham,DistalPhalanxTW,ProximalPhalanxTW,FaceFour,synthetic_control,Haptics,Adiac,DistalPhalanxOutlineCorrect,Plane,Computers,ProximalPhalanxOutlineAgeGroup,MiddlePhalanxTW,ScreenType,MiddlePhalanxOutlineAgeGroup,MiddlePhalanxOutlineCorrect,ArrowHead,Phoneme,ProximalPhalanxOutlineCorrect,OliveOil,DiatomSizeReduction,PhalangesOutlinesCorrect,NonInvasiveFatalECG_Thorax1,NonInvasiveFatalECG_Thorax2,Two_Patterns,Car,ItalyPowerDemand,ElectricDevices,Strawberry,MALLAT,wafer,CBF,FISH,Herring,Trace,MedicalImages,Wine,Lighting7,ChlorineConcentration,FordB,LargeKitchenAppliances,FordA,Coffee,Lighting2,Gun_Point,RefrigerationDevices,Meat,ShapeletSim,SmallKitchenAppliances,Earthquakes,HandOutlines
Coffee,50words,MedicalImages,DistalPhalanxOutlineCorrect,DistalPhalanxTW,DistalPhalanxOutlineAgeGroup,MiddlePhalanxOutlineCorrect,MiddlePhalanxTW,ProximalPhalanxOutlineAgeGroup,MiddlePhalanxOutlineAgeGroup,uWaveGestureLibrary_Y,ProximalPhalanxTW,PhalangesOutlinesCorrect,ProximalPhalanxOutlineCorrect,ArrowHead,WordsSynonyms,ECG5000,Lighting7,Beef,CBF,Gun_Point,uWaveGestureLibrary_X,uWaveGestureLibrary_Z,MoteStrain,Strawberry,wafer,SonyAIBORobotSurfaceII,Cricket_Z,FacesUCR,ShapesAll,FaceAll,Meat,Cricket_X,ScreenType,Computers,Cricket_Y,synthetic_control,Worms,InlineSkate,WormsTwoClass,ToeSegmentation1,ToeSegmentation2,InsectWingbeatSound,Haptics,ItalyPowerDemand,UWaveGestureLibraryAll,SonyAIBORobotSurface,ElectricDevices,Wine,Lighting2,StarLightCurves,ECG200,Ham,SwedishLeaf,Two_Patterns,OliveOil,Plane,TwoLeadECG,ECGFiveDays,BeetleFly,Symbols,yoga,OSULeaf,FaceFour,MALLAT,ChlorineConcentration,HandOutlines,Adiac,LargeKitchenAppliances,Trace,BirdChicken,CinC_ECG_torso,FordB,Phoneme,FordA,RefrigerationDevices,ShapeletSim,NonInvasiveFatalECG_Thorax2,NonInvasiveFatalECG_Thorax1,DiatomSizeReduction,Earthquakes,SmallKitchenAppliances,FISH,Car,Herring
Computers,InsectWingbeatSound,MedicalImages,ElectricDevices,Cricket_Z,Cricket_X,WordsSynonyms,ScreenType,Lighting7,50words,ToeSegmentation2,uWaveGestureLibrary_Y,CBF,ProximalPhalanxTW,DistalPhalanxOutlineCorrect,DistalPhalanxTW,ToeSegmentation1,PhalangesOutlinesCorrect,ProximalPhalanxOutlineAgeGroup,ProximalPhalanxOutlineCorrect,DistalPhalanxOutlineAgeGroup,MiddlePhalanxTW,MiddlePhalanxOutlineCorrect,Strawberry,MiddlePhalanxOutlineAgeGroup,LargeKitchenAppliances,InlineSkate,SonyAIBORobotSurfaceII,uWaveGestureLibrary_Z,Lighting2,uWaveGestureLibrary_X,FaceAll,StarLightCurves,ShapesAll,SonyAIBORobotSurface,MoteStrain,wafer,Cricket_Y,Plane,Gun_Point,SwedishLeaf,synthetic_control,Two_Patterns,FacesUCR,Ham,ECG200,Worms,Meat,yoga,ItalyPowerDemand,Beef,Adiac,ECG5000,TwoLeadECG,Coffee,OSULeaf,Wine,UWaveGestureLibraryAll,BeetleFly,Symbols,WormsTwoClass,OliveOil,BirdChicken,ArrowHead,ECGFiveDays,ChlorineConcentration,MALLAT,DiatomSizeReduction,Haptics,FaceFour,CinC_ECG_torso,Trace,FISH,RefrigerationDevices,Car,Herring,Phoneme,NonInvasiveFatalECG_Thorax2,FordB,FordA,NonInvasiveFatalECG_Thorax1,SmallKitchenAppliances,Earthquakes,ShapeletSim,HandOutlines
Cricket_X,Cricket_Z,InsectWingbeatSound,WordsSynonyms,Cricket_Y,SwedishLeaf,uWaveGestureLibrary_X,ToeSegmentation1,ShapesAll,50words,uWaveGestureLibrary_Y,ToeSegmentation2,ECG200,Symbols,Strawberry,MedicalImages,yoga,StarLightCurves,DistalPhalanxTW,Plane,uWaveGestureLibrary_Z,DistalPhalanxOutlineAgeGroup,ProximalPhalanxTW,MiddlePhalanxTW,DistalPhalanxOutlineCorrect,ProximalPhalanxOutlineAgeGroup,OSULeaf,Adiac,BirdChicken,SonyAIBORobotSurface,MiddlePhalanxOutlineAgeGroup,FaceAll,MiddlePhalanxOutlineCorrect,MoteStrain,CBF,InlineSkate,ProximalPhalanxOutlineCorrect,Lighting7,BeetleFly,synthetic_control,SonyAIBORobotSurfaceII,Beef,FacesUCR,ECG5000,ElectricDevices,PhalangesOutlinesCorrect,wafer,UWaveGestureLibraryAll,Worms,WormsTwoClass,Gun_Point,DiatomSizeReduction,Ham,Trace,ScreenType,Computers,ItalyPowerDemand,TwoLeadECG,Lighting2,Car,OliveOil,MALLAT,Two_Patterns,FISH,Meat,FaceFour,ArrowHead,Herring,Wine,ECGFiveDays,Haptics,CinC_ECG_torso,LargeKitchenAppliances,Phoneme,Coffee,NonInvasiveFatalECG_Thorax2,NonInvasiveFatalECG_Thorax1,ChlorineConcentration,RefrigerationDevices,SmallKitchenAppliances,FordB,FordA,ShapeletSim,Earthquakes,HandOutlines
Cricket_Y,uWaveGestureLibrary_Y,Cricket_X,Cricket_Z,uWaveGestureLibrary_Z,uWaveGestureLibrary_X,ShapesAll,ECG5000,SwedishLeaf,ToeSegmentation2,SonyAIBORobotSurface,50words,ECG200,ToeSegmentation1,synthetic_control,OSULeaf,TwoLeadECG,yoga,DistalPhalanxOutlineAgeGroup,DistalPhalanxTW,Plane,MoteStrain,DistalPhalanxOutlineCorrect,ProximalPhalanxTW,ProximalPhalanxOutlineAgeGroup,Symbols,FacesUCR,ProximalPhalanxOutlineCorrect,MiddlePhalanxTW,FaceAll,MiddlePhalanxOutlineAgeGroup,MiddlePhalanxOutlineCorrect,PhalangesOutlinesCorrect,BirdChicken,Beef,WordsSynonyms,InlineSkate,ItalyPowerDemand,BeetleFly,UWaveGestureLibraryAll,wafer,Worms,WormsTwoClass,Adiac,MedicalImages,CBF,InsectWingbeatSound,ElectricDevices,StarLightCurves,SonyAIBORobotSurfaceII,Trace,MALLAT,Two_Patterns,CinC_ECG_torso,ScreenType,DiatomSizeReduction,ECGFiveDays,OliveOil,FaceFour,Gun_Point,Strawberry,Haptics,ArrowHead,Ham,Computers,Lighting7,Car,Phoneme,FISH,Wine,Herring,Coffee,NonInvasiveFatalECG_Thorax1,ChlorineConcentration,NonInvasiveFatalECG_Thorax2,Lighting2,Meat,LargeKitchenAppliances,RefrigerationDevices,FordB,FordA,ShapeletSim,Earthquakes,SmallKitchenAppliances,HandOutlines
Cricket_Z,Cricket_X,InsectWingbeatSound,Cricket_Y,ShapesAll,WordsSynonyms,ToeSegmentation1,ToeSegmentation2,uWaveGestureLibrary_X,SwedishLeaf,50words,ProximalPhalanxTW,uWaveGestureLibrary_Z,DistalPhalanxTW,ECG200,Symbols,StarLightCurves,uWaveGestureLibrary_Y,ProximalPhalanxOutlineAgeGroup,DistalPhalanxOutlineAgeGroup,MiddlePhalanxTW,DistalPhalanxOutlineCorrect,MedicalImages,Strawberry,MiddlePhalanxOutlineCorrect,MiddlePhalanxOutlineAgeGroup,InlineSkate,SonyAIBORobotSurface,ProximalPhalanxOutlineCorrect,Lighting7,yoga,Plane,MoteStrain,PhalangesOutlinesCorrect,OSULeaf,BirdChicken,synthetic_control,FaceAll,ECG5000,ElectricDevices,FacesUCR,Worms,Beef,CBF,BeetleFly,SonyAIBORobotSurfaceII,TwoLeadECG,Adiac,Computers,Trace,ScreenType,Ham,Lighting2,MALLAT,wafer,WormsTwoClass,UWaveGestureLibraryAll,Gun_Point,OliveOil,ItalyPowerDemand,DiatomSizeReduction,Wine,Two_Patterns,Meat,ArrowHead,Haptics,Car,FaceFour,ChlorineConcentration,Coffee,ECGFiveDays,FISH,LargeKitchenAppliances,Herring,CinC_ECG_torso,Phoneme,NonInvasiveFatalECG_Thorax1,NonInvasiveFatalECG_Thorax2,RefrigerationDevices,SmallKitchenAppliances,FordB,FordA,ShapeletSim,Earthquakes,HandOutlines
DiatomSizeReduction,ShapesAll,Adiac,SwedishLeaf,FISH,Car,Herring,yoga,Plane,OSULeaf,BirdChicken,InlineSkate,ToeSegmentation2,uWaveGestureLibrary_X,uWaveGestureLibrary_Z,Cricket_X,SonyAIBORobotSurface,NonInvasiveFatalECG_Thorax1,NonInvasiveFatalECG_Thorax2,synthetic_control,Cricket_Z,UWaveGestureLibraryAll,Cricket_Y,Worms,uWaveGestureLibrary_Y,ElectricDevices,ECG200,FacesUCR,MoteStrain,WormsTwoClass,ScreenType,SonyAIBORobotSurfaceII,FaceAll,ECG5000,ToeSegmentation1,StarLightCurves,DistalPhalanxTW,ChlorineConcentration,BeetleFly,Computers,DistalPhalanxOutlineAgeGroup,Beef,MedicalImages,InsectWingbeatSound,ProximalPhalanxTW,TwoLeadECG,DistalPhalanxOutlineCorrect,MiddlePhalanxTW,WordsSynonyms,ItalyPowerDemand,ProximalPhalanxOutlineAgeGroup,MiddlePhalanxOutlineAgeGroup,50words,MiddlePhalanxOutlineCorrect,Symbols,Haptics,ProximalPhalanxOutlineCorrect,FaceFour,Two_Patterns,PhalangesOutlinesCorrect,CinC_ECG_torso,ECGFiveDays,Trace,CBF,Strawberry,Lighting7,Wine,wafer,Phoneme,Ham,Gun_Point,Lighting2,FordB,FordA,RefrigerationDevices,LargeKitchenAppliances,ArrowHead,Meat,ShapeletSim,Coffee,OliveOil,Earthquakes,MALLAT,SmallKitchenAppliances,HandOutlines
